SK_ID_CURR,TARGET,CNT_CHILDREN,AMT_ANNUITY,CODE_GENDER,DAYS_BIRTH,DAYS_EMPLOYED,AMT_CREDIT,AMT_INCOME_TOTAL
287710,0.0,0.0,31995.0,0.0,47.16,1.42,405000.0,121500.0
235199,0.0,0.0,26217.0,0.0,27.45,0.75,808650.0,90000.0
443439,0.0,0.0,34218.0,0.0,39.55,1.72,859500.0,135000.0
153942,0.0,1.0,10125.0,0.0,39.81,3.61,202500.0,148500.0
157936,0.0,0.0,24916.5,1.0,47.63,2.05,490495.5,157500.0
429193,0.0,1.0,40063.5,1.0,35.0,2.57,1006920.0,202500.0
325235,0.0,0.0,21307.5,1.0,38.99,1.35,414792.0,90000.0
365751,0.0,0.0,12721.5,0.0,65.81,4.5,193392.0,121500.0
253340,0.0,0.0,24201.0,0.0,63.47,4.5,740700.0,135000.0
134222,0.0,0.0,24939.0,0.0,67.98,4.57,254700.0,121500.0
364026,0.0,0.0,26446.5,0.0,22.41,1.11,900000.0,157500.0
127520,0.0,0.0,24822.0,1.0,42.99,14.05,582804.0,202500.0
267157,0.0,0.0,6903.0,0.0,51.6,1.71,86256.0,112500.0
300132,1.0,2.0,36328.5,1.0,36.98,18.33,755190.0,175500.0
245884,0.0,0.0,20925.0,1.0,28.54,5.94,540000.0,180000.0
267838,0.0,0.0,27522.0,0.0,32.19,9.39,539100.0,157500.0
411007,0.0,0.0,15844.5,0.0,31.18,6.94,571446.0,270000.0
184428,0.0,0.0,43231.5,1.0,55.21,0.49,363190.5,202500.0
419549,0.0,0.0,15241.5,0.0,39.27,14.17,152820.0,90000.0
120812,0.0,0.0,35262.0,0.0,38.9,0.76,521280.0,202500.0
260524,0.0,1.0,47344.5,0.0,37.45,2.21,886176.0,238500.0
306275,0.0,0.0,32436.0,0.0,64.15,0.7,481495.5,157500.0
224369,0.0,0.0,15313.5,1.0,23.51,3.29,251280.0,202500.0
270946,0.0,0.0,28755.0,0.0,28.68,5.93,1040985.0,157500.0
107087,0.0,0.0,45630.0,1.0,34.78,4.28,1006920.0,202500.0
452299,0.0,1.0,29074.5,1.0,33.5,8.54,990000.0,157500.0
349901,0.0,0.0,19251.0,1.0,27.5,0.53,238500.0,135000.0
215832,1.0,1.0,13500.0,0.0,31.85,6.6,270000.0,117000.0
313265,0.0,2.0,16969.5,0.0,27.99,0.76,252000.0,67500.0
354894,0.0,1.0,22131.0,0.0,31.58,1.47,526491.0,189000.0
224941,0.0,2.0,22500.0,0.0,36.9,13.72,450000.0,247500.0
273442,0.0,0.0,24246.0,1.0,35.59,2.2,305221.5,135000.0
367775,0.0,0.0,26865.0,0.0,39.5,0.59,727785.0,112500.0
176066,0.0,1.0,30073.5,1.0,24.84,0.63,450000.0,112500.0
188970,0.0,2.0,19431.0,0.0,37.94,8.03,512064.0,180000.0
356065,0.0,0.0,5269.5,0.0,55.63,4.5,52767.0,37350.0
162405,0.0,0.0,16366.5,1.0,57.28,10.15,555273.0,225000.0
425485,0.0,2.0,21888.0,0.0,28.85,2.89,450000.0,225000.0
265678,0.0,0.0,29250.0,1.0,44.8,2.18,585000.0,270000.0
260944,0.0,0.0,61087.5,1.0,32.16,6.21,1042560.0,292500.0
427396,1.0,0.0,31630.5,0.0,52.05,7.22,521280.0,247500.0
125885,0.0,0.0,31770.0,0.0,62.8,9.42,1082214.0,117000.0
312019,0.0,0.0,4698.0,0.0,54.61,4.5,67500.0,99450.0
228305,0.0,1.0,26446.5,1.0,30.96,4.66,900000.0,121500.0
424496,0.0,1.0,42192.0,1.0,28.23,0.37,874363.5,337500.0
341254,0.0,0.0,15750.0,1.0,28.73,0.74,315000.0,90000.0
279798,0.0,0.0,15732.0,0.0,58.99,4.5,544491.0,68400.0
201643,0.0,0.0,13005.0,0.0,58.54,6.73,358443.0,112500.0
260044,0.0,1.0,13500.0,0.0,41.84,0.38,270000.0,157500.0
125404,0.0,2.0,8235.0,0.0,34.69,14.19,76410.0,65700.0
125663,0.0,1.0,48681.0,0.0,54.05,20.92,498384.0,180000.0
159561,0.0,1.0,20281.5,0.0,28.51,0.53,203760.0,121500.0
309275,0.0,2.0,21541.5,0.0,30.28,7.44,508495.5,121500.0
409050,0.0,0.0,30078.0,1.0,63.13,4.5,755190.0,270000.0
142531,0.0,0.0,25146.0,0.0,47.03,4.45,490005.0,112500.0
433514,0.0,0.0,12172.5,1.0,53.69,3.62,319500.0,315000.0
292568,0.0,0.0,40320.0,0.0,35.08,4.9,835380.0,189000.0
190202,0.0,0.0,52452.0,1.0,59.68,11.25,1024740.0,270000.0
383561,0.0,0.0,19188.0,0.0,58.7,4.5,432661.5,112500.0
356935,0.0,0.0,12564.0,1.0,54.38,0.82,225000.0,90000.0
240599,0.0,0.0,23305.5,0.0,64.92,5.48,808650.0,180000.0
406529,0.0,0.0,17811.0,0.0,57.79,4.5,325908.0,112500.0
216269,0.0,0.0,9000.0,1.0,37.9,6.56,180000.0,166500.0
124274,0.0,0.0,40239.0,0.0,48.53,26.79,1525482.0,315000.0
428454,0.0,0.0,11250.0,0.0,55.95,4.5,225000.0,81000.0
174599,0.0,2.0,26154.0,1.0,37.96,17.04,675000.0,108000.0
149375,0.0,0.0,24120.0,0.0,33.19,9.04,375408.0,157500.0
200325,0.0,0.0,17905.5,1.0,47.8,7.31,436500.0,193500.0
132921,0.0,2.0,23931.0,0.0,31.43,9.45,814041.0,180000.0
353929,0.0,0.0,33025.5,0.0,40.64,5.55,1125000.0,54000.0
454570,0.0,1.0,24259.5,0.0,40.74,5.97,640080.0,202500.0
298281,0.0,1.0,32373.0,1.0,41.75,2.1,1026922.5,234184.5
330196,1.0,2.0,31023.0,0.0,37.65,0.29,1056636.0,49500.0
416599,0.0,0.0,10125.0,0.0,46.77,10.53,202500.0,67500.0
227588,0.0,1.0,22018.5,0.0,36.36,7.71,450000.0,157500.0
243823,1.0,0.0,27967.5,0.0,39.0,4.13,702000.0,135000.0
412661,0.0,0.0,23305.5,0.0,34.36,0.32,808650.0,180000.0
430941,0.0,0.0,33790.5,0.0,29.15,3.82,360000.0,171036.0
372354,0.0,3.0,27310.5,1.0,38.72,19.15,344043.0,360000.0
414351,0.0,2.0,29164.5,0.0,36.7,7.65,900000.0,157500.0
101937,0.0,0.0,21748.5,1.0,42.69,7.85,273636.0,225000.0
289356,0.0,1.0,5391.0,0.0,40.08,4.02,91692.0,81000.0
316125,0.0,0.0,16294.5,0.0,58.2,4.5,450000.0,36180.0
388846,0.0,1.0,6984.0,1.0,39.74,12.3,85500.0,216000.0
454259,0.0,0.0,17887.5,1.0,62.35,4.5,182286.0,108000.0
125724,0.0,0.0,10125.0,0.0,58.16,4.5,202500.0,67500.0
343653,0.0,0.0,36094.5,0.0,59.19,12.39,675000.0,117000.0
246366,0.0,0.0,14445.0,1.0,21.63,0.59,379237.5,157500.0
338277,0.0,0.0,22050.0,1.0,47.54,26.07,610335.0,315000.0
148000,0.0,2.0,23787.0,0.0,40.67,22.18,339948.0,157500.0
415401,0.0,2.0,28935.0,0.0,32.91,4.13,254700.0,135000.0
115128,0.0,0.0,16047.0,0.0,57.47,38.7,544491.0,117000.0
179588,0.0,0.0,34663.5,0.0,43.25,6.03,1314117.0,215325.0
415814,0.0,1.0,20637.0,1.0,30.45,4.24,225000.0,148500.0
133767,0.0,0.0,29844.0,0.0,60.1,4.5,674635.5,90000.0
115922,0.0,0.0,26109.0,0.0,45.75,4.65,540000.0,225000.0
132015,0.0,0.0,43789.5,1.0,51.75,4.5,781920.0,225000.0
296207,0.0,0.0,23850.0,0.0,66.28,4.5,239850.0,270000.0
348738,0.0,0.0,16875.0,0.0,57.13,4.5,337500.0,112500.0
121254,0.0,0.0,29529.0,0.0,46.65,10.03,526491.0,166500.0
431309,0.0,2.0,26640.0,1.0,37.98,1.36,545040.0,180000.0
392385,0.0,1.0,20538.0,0.0,29.27,3.59,337761.0,90000.0
143932,0.0,0.0,16875.0,1.0,45.35,6.1,337500.0,112500.0
399704,0.0,1.0,24687.0,0.0,46.41,1.22,717318.0,135000.0
126122,0.0,2.0,38686.5,0.0,46.58,13.71,755190.0,144000.0
323234,0.0,0.0,10152.0,0.0,49.56,2.78,364428.0,157500.0
393066,0.0,0.0,10678.5,0.0,62.95,4.5,203760.0,112500.0
102826,0.0,0.0,42205.5,0.0,60.68,4.5,993082.5,225000.0
401064,0.0,1.0,27324.0,1.0,27.75,4.0,450000.0,180000.0
428828,0.0,1.0,9000.0,1.0,36.56,1.36,180000.0,180000.0
123423,0.0,0.0,17361.0,0.0,45.49,7.87,337500.0,144000.0
190219,0.0,0.0,32895.0,0.0,35.66,2.64,1125000.0,202500.0
105179,0.0,1.0,36423.0,0.0,36.7,8.43,1125000.0,157500.0
105314,0.0,2.0,16573.5,0.0,28.88,1.15,314055.0,112500.0
361213,0.0,0.0,38880.0,0.0,47.9,0.55,675000.0,270000.0
426690,0.0,0.0,26073.0,1.0,35.96,0.67,358344.0,225000.0
113825,0.0,0.0,25578.0,1.0,44.35,7.33,239850.0,225000.0
218286,0.0,0.0,23485.5,1.0,47.64,1.11,770328.0,234000.0
173352,0.0,1.0,19201.5,0.0,31.28,11.81,270000.0,78750.0
412788,0.0,0.0,35806.5,0.0,54.07,3.46,592560.0,180000.0
173350,0.0,0.0,11074.5,0.0,33.1,2.11,104256.0,52650.0
260837,0.0,0.0,6750.0,0.0,23.28,0.44,135000.0,112500.0
384979,0.0,0.0,98050.5,0.0,51.08,4.5,1408806.0,337500.0
268322,0.0,0.0,26028.0,0.0,61.39,4.5,885762.0,382500.0
452399,0.0,0.0,11250.0,1.0,31.65,1.24,225000.0,225000.0
218290,0.0,2.0,35554.5,0.0,38.06,3.46,450000.0,180000.0
232482,0.0,1.0,37800.0,1.0,44.3,7.65,1288350.0,315000.0
301251,0.0,2.0,8973.0,1.0,37.49,7.05,78192.0,121500.0
158291,0.0,0.0,23494.5,0.0,67.28,4.5,239850.0,108000.0
347673,0.0,1.0,31653.0,1.0,43.69,2.13,1078200.0,202500.0
366285,0.0,1.0,28615.5,1.0,34.35,4.41,677664.0,288000.0
364227,0.0,0.0,36927.0,0.0,51.09,4.5,835380.0,157500.0
391249,0.0,0.0,42066.0,0.0,38.73,10.73,787131.0,225000.0
231362,0.0,0.0,7875.0,0.0,58.23,4.5,157500.0,72000.0
175726,0.0,0.0,32328.0,1.0,33.18,0.91,900000.0,126000.0
121433,0.0,0.0,13500.0,0.0,56.95,4.5,270000.0,45000.0
378990,0.0,0.0,13653.0,0.0,62.94,4.5,143910.0,85500.0
284100,0.0,2.0,56263.5,1.0,56.61,9.96,497520.0,135000.0
432512,0.0,1.0,11137.5,1.0,44.83,3.03,215640.0,157500.0
267818,0.0,0.0,45508.5,0.0,60.2,4.5,1071000.0,202500.0
392790,0.0,1.0,28165.5,1.0,33.93,2.47,582804.0,225000.0
262880,0.0,2.0,26743.5,0.0,37.28,0.82,521280.0,157500.0
418175,1.0,0.0,11025.0,0.0,58.88,4.5,292500.0,135000.0
